"Index","N","HS","WHS","RM","GARCH-N","GARCH-t","GARCH-fhs","eGARCH-N","eGARCH-t","eGARCH-fhs","apARCH-N","apARCH-t","apARCH-fhs","CAViaR-SAV","CAViaR-AS","CAViaR-IG","CAViaR-AD"
1996-02-06,-0.0391787416277361,-0.0424114379454981,-0.0383802928651359,-0.0611455439130073,-0.0546943890818769,-0.0597236062987864,-0.0581074246915656,-0.0418263498079451,-0.0489580441341655,-0.0444470285331088,-0.0408642053164952,-0.0484037604672816,-0.0430662471176734,-0.0464048612365244,-0.0377378826980894,-0.0427115700334708,-0.0495255474981486
1996-02-07,-0.0391886649412087,-0.0424114379454981,-0.0383797272790852,-0.0605970536379368,-0.0544094019447202,-0.0592654121302189,-0.0578557186870088,-0.0415631537203717,-0.0491149371791272,-0.0441404193099695,-0.0407225487429943,-0.0486369113673187,-0.0429366963752428,-0.0444908670838905,-0.0383369387610397,-0.0417698088646447,-0.0495482287614339
1996-02-08,-0.0392180246472288,-0.0424114379454981,-0.0383791559800441,-0.0597089431811101,-0.0539112587490986,-0.0585344509356155,-0.0573395183245446,-0.043417512943207,-0.0504790957115704,-0.0461054515964215,-0.0428311199926419,-0.0500961044422781,-0.0451540384804278,-0.0436770814646153,-0.0459120514904348,-0.0413651278456543,-0.0495779266703918
1996-02-09,-0.0392180322005272,-0.0424114379454981,-0.0383785789103057,-0.058057779380113,-0.0529499132893353,-0.0570948856395222,-0.0563551998135047,-0.0419017410101492,-0.0487799299458337,-0.0445435863459786,-0.0413959830645517,-0.0487081067062114,-0.0436118842392763,-0.039889413405576,-0.0358801904115287,-0.039930306441603,-0.0496020656133395
1996-02-12,-0.0392161863094448,-0.0424114379454981,-0.0383779960115799,-0.0562891055334697,-0.0518901357427214,-0.0555034719941886,-0.0552972878870734,-0.0399726622182247,-0.0464011034997367,-0.0425195533088724,-0.0391110317842272,-0.0463828941484216,-0.0411761746668987,-0.0378659121681294,-0.040282936132461,-0.0391143935042462,-0.0496284989641869
1996-02-13,-0.0392169922483494,-0.0424114379454981,-0.0383774072249883,-0.0552664112785033,-0.0513576625305687,-0.0547872520285335,-0.0547322891432085,-0.0393265070132585,-0.0459798806287804,-0.0418459403957362,-0.0384823186390256,-0.045967162174962,-0.040518754373628,-0.0437999342295088,-0.0378472264714987,-0.0398299019718881,-0.0481931184588004
1996-02-14,-0.0392316410326824,-0.0424114379454981,-0.0383768124910573,-0.0541904634844189,-0.0507103123611763,-0.0538438632542315,-0.0540809824047745,-0.0404245340279663,-0.0466412703011223,-0.0429976068463963,-0.0398636345992795,-0.0467295318400132,-0.0420295555160347,-0.0421962479570545,-0.0445478789457277,-0.0399670225976563,-0.0482085200208228
1996-02-15,-0.0392309107843796,-0.0424114379454981,-0.0383762117497129,-0.0526325660411623,-0.0497751418124531,-0.0526666660570384,-0.0531492062380713,-0.0390234499787441,-0.0451360621551287,-0.0414273599206911,-0.0384271262002724,-0.0452770875803616,-0.0405643374420933,-0.0393771298030412,-0.0367140447114649,-0.0392332323769423,-0.0482257930703879
1996-02-16,-0.0392318557697946,-0.0424114379454981,-0.0383756049402742,-0.0536577300011061,-0.0503595622778698,-0.0536445552578131,-0.0537278611782188,-0.0393774850668905,-0.0462820570093069,-0.0418617034121967,-0.038748232356021,-0.046182003381682,-0.0408489838152259,-0.048476909042546,-0.0385222061450505,-0.0426023647023757,-0.0482391221563251
1996-02-20,-0.0392301783472968,-0.0424114379454981,-0.0383749920014471,-0.0520547430415718,-0.0494494575440072,-0.0522221782359989,-0.0527982221674312,-0.0378280044825794,-0.0444195142128019,-0.0401285001649999,-0.0371214002033289,-0.0443745279714657,-0.0390878360547352,-0.03726866037977,-0.0391150870536361,-0.0393161860239603,-0.0482547523145325
1996-02-21,-0.0392303885187704,-0.0424114379454981,-0.0383743728713188,-0.0507576606702572,-0.0486564003194236,-0.0512492420457537,-0.0519541746392539,-0.0368439043218411,-0.0434927339860825,-0.0390238409889739,-0.0361540864579679,-0.0435243153737761,-0.0380827084402266,-0.0418233958436937,-0.0385005320295857,-0.0395915937110219,-0.0482691280721447
1996-02-22,-0.0392278312265483,-0.0424114379454981,-0.0383737474873507,-0.0495021099903905,-0.0479882027246598,-0.0501768323939417,-0.0512417918179109,-0.0360009895494894,-0.0426433985659108,-0.0381339270106962,-0.0353130409338855,-0.0427079674760537,-0.0372020489655385,-0.0408657134292095,-0.0387452625220903,-0.0393578242345253,-0.0482824943128506
1996-02-23,-0.0392544193020181,-0.0424114379454981,-0.0383731157863729,-0.0512838527802951,-0.0488751847765691,-0.0518297494996307,-0.0521567386028252,-0.0370054370452622,-0.0444007776819754,-0.039314238447604,-0.0364049471931779,-0.0443040436901544,-0.0383805264433762,-0.0491139075962735,-0.0374173534396268,-0.0433018685400474,-0.0482977514056627
1996-02-26,-0.0392428071979125,-0.0424114379454981,-0.0383724777045772,-0.0501904895905935,-0.0482662159907393,-0.0510447517019715,-0.0515013008970077,-0.0361872780178823,-0.0436506096999347,-0.0384591505105224,-0.0355512165880354,-0.0435388159932812,-0.0374677015251663,-0.0403252468194321,-0.039060298426928,-0.041066448208933,-0.0483108586887242
